course_name,learning_outcomes,description,more_info,image,is_new,is_closed,term,term_id,ageGroup,students,topics,category,show
Arabic,"Children are exposed to the sounds and letters through activities, all of which are aimed at developing early language skills in Arabic. The course aims to enable the children to speak, read and write in Arabic confidently.","This course aims to familiarize the children with the Arabic language. The students will learn the basics such as the alphabets, sounds and vocabulary. They will also be able to practice carrying out conversations in this language.
All children will be assessed upon entry to determine their level and will be put in appropriate classes accordingly.","Learning in this class is done through games activities and tasks to provide opportunities to practice basic vocabulary, primary listening and speaking skills.",,,,,,Year 1-6,,,Language,
Choir &  Poetry,"Students will be able to show an appreciation for poems and their meanings. They will also be able to express opinions on these, as well as excelling in the recitation and delivery of the poems in the form of a choir in front of an audience.
Through this speech choir experience where children perform as a group, it helps to bring the text alive for the children. It will also develop their confidence and teamwork while learning to sing in unison.","Choir and poetry allows children to recite a verse, story or rhyme with an underlying message  in unison with elements of choreography.","Poems will be chosen with a purposive message and practiced to be recited. Throughout the practice, the singing and understanding skills of the children will be developed through repeated practices and varying exercises to reach excellence.",,FALSE,TRUE,,,Year 1-6,,,Skills,
Athletics,"Taking part in athletics will not only assist participants in becoming physically more healthy, reducing risks of injury; but also allows them to build their self-confidence, team workIng skills, and growth mindset.","Whatever age or level of ability, athletics can help your child get stronger and healthier. From running and jumping to throwing, every child can become an athlete. We offer a range of athletics-based options to help children take the next step in becoming involved in sports.","Athletics is a group of sporting events that involves competitive running, jumping, throwing, and walking. The most common types of athletics competitions are track and field, road running, cross country running, and race-walking.",,FALSE,TRUE,,,Year 1-6,,,Sport,
Gymnastics,"In this course, children will have fun, gain fitness and acquire good fundamental movement skills to	 support their personal physical	activity	goals.The activities used and the skills learned will help improve	students’ body management, movement control, and development of locomotor and non-locomotor skills. This course will promotes coordination, flexibility, agility, muscular strength, and	muscular endurance.","This course is designed to teach flexibility, strength, coordination and body awareness using gymnastics skills while building positive self-esteem in a relaxed, fun, yet challenging atmosphere. A non competitive class designed to build gymnastics skills through progression.","The child should be enabled to create and perform sequences of movement to develop body awareness with appropriate variations of direction, pathways, levels, shape and balances. Select and link a range of movement actions to travel on the floor and develop good body tension and posture through gymnastics positions and movements, while being able to observe and describe movement.

The children will learn a lot of skills through games. These games are linked to the discipline of this course or general warm up games. playanewgame.net",,FALSE,TRUE,,,Year 1-6,,,Sport,
Yarn Weaving,"This training increases children's level of concentration, hand-eye coordination, fine motor skills, the ability to distinguish colors, and precision.","In this course, we are going to knit tricot boxes that can be used to organize items such as toiletries, stationery, clothes, toys or personal items.. they can be gifted to your friends or family. During this term, we will have 4 to 5 models of different textures, such as the texture of a pot brick, Kajrah, simple weave texture, doll weave texture, straw texture.
Finally, in addition to the beautiful results obtained, this training increases children's level of concentration, hand-eye coordination, fine motor skills, the ability to distinguish colors, and precision.",N/A,,TRUE,,,,Year 4-6,,,Skills,
Cooking Club,Our food foundation programme is a series of 10 weekly cooking workshops that support an understanding of the food journey. Each 50-minute session explores a step-by-step recipe that every child will individually prepare. Every dish will be made from Scratch to take home along with a recipe card enabling them to recreate their masterpiece time and time again.,"This club will deliver highly engaging, hands- on cooking experiences. Our healthy Eating blended workshops are in line with health and wellbeing and provide a safe environment for children to develop their important skills in food preparation and healthy diet. On the other hand, they will learn where food comes from and understand why diet is important to our health.","Reusable sealed and named containers  MUST be brought every week by the students.
Recipes will include pizza, potato, salad, chocolate brownies, lasagne with wraps, chickpea fritters, and so on …",,FALSE,FALSE,,,Year 1-6,,,Skills,
Robotics,"The course helps children to learn how simple robotics work in an environment that improves communication, collaboration and team building skills between children.","Children will be introduced to robotics in a fun way, using building bricks and computer commands to assemble and control. They will work in groups to encourage brainstorming and teamwork.
A different model to be explored every session.
","Levels: children may be put into different classes based on teachers' discretion.

Skills to be Gained: Programming, Problem-solving, Creativity

Identity Building Components:  Building up their professional skills, confidence building, being able to connect and fit in.

During the class, children use hands-on technique and will be guided during the session to follow instructions. Once the model is built and children understand the mechanism of how it should work, they code the sensors and motor. Afterwards, they start adjusting and apply any modification to enhance the model.

Our Qualifications and Experiences
MSc. in Information Systems.
Diploma in Software Skills Development. BSc. in Management Information Systems.

(2010 – Till now) Tutoring, School Clubs & Holiday Activities in Coding,
Robotics, Game Design & IT Skills (1998 – 2010) University Lecturers.",,,,,,Year 1-6,,,Skills,
Volleyball ,"The goal is to teach kids the basic skills in volleyball such as hand setting, digging, and hitting whilst having fun, playing games.","Volleyball improves Children's balance,  flexibility, and coordination, whilst focusing on good footwork and correct hand-eye coordination for touching the ball. The earlier kids are introduced to the sport, the more likely they are to develop the correct technique.","This course will prioritise continious development, good sportsmanship, goal setting, teamwork and skills development in a fun atmosphere.",,FALSE,TRUE,,,Year 1-6,,,Sport,
Cricket, ,"during this course the cricket game is introduced with a focus on having fun while providing a foundation in the basics and a first chance to experience game-based learning.

As the interest and knowledge of cricket grows,  increase their skill and technical based learning, while making sure they are having fun.", ,,FALSE,TRUE,,,Year 1-6,,,Sport,
The Art of Problem Solving,children will explore mathematical tasks that have the potential to provide intellectual challenges for enhancing students' mathematical understanding and development,In this course we go over various challenging math puzzles. Students will learn how to think deeply on a math problem that they might not have seen problems similar to that before. The goal of this course is to flourish the problem solving attitude and deep thinking in the students. This course is ideal for ambitious students who love math and may want to compete in math competitions later on!,"During this course students will not just memorise procedures and formulas or just do exercises. They will be formulating conjectures, seeking solutions, and exploring patterns. ",,FALSE,TRUE,,,Year 4-6,,,Skills,
STEM & Monotheism - 1,"– Understanding and exploring the science behind many reactions and products 
– Build an understanding of the world creator by experiencing his power, wisdom and knowledge through everything created by their Lord","The Science, Technology, Engineering, and Maths activities in this course offer a variety of platforms to investigate and experiment. Within all these platforms we showcase the wonderful creations of Allah. We guide the children through a journey of understanding the characteristics of Allah through analysing and recognising his creations in the world around us.
This is the beginners course and includes 3 terms of basic training. We recommend that you continue this course for at least a year. ","Skills to be Gained: Being attentive, becoming analytical, contemplating,  

Identity building components: Building up the belief system, providing a backbone to their identity.

These activities are designed to allow the application of a varied range of STEM activities. Islamic references to scientific knowledge or explanations will also be provided by the coach.",,,,,,Year 1-6,,,Islamic,
Multi-Sports,The children will gain a basic understanding of the mentioned sports and be able to find and pursue their interests through this experience. ,This course is developed kids tone and strengths through core activities. It will focus on various sports foundational skills. It aims to give the children the opportunity to develop core skills to be able to follow their talent and interests in future selected sports.,"Basketball: passing,shooting,dribbling, bouncing while walking, bouncing the ball around your body, defending, Basketball related fitness exercises.

Cricket: working on agility and quickness.  Fielding, batting, bowling. Catching the ball. Obviously a cricket match. We'd play quick cricket.

Gymnastics: Teaching flexibility, strength, coordination and body awareness through movements, balancing and fun activities. ",,FALSE,FALSE,,,Year 1-3,,,Sport,
Drama,"They will gain the ability to express themselves with their actions and engage in different scenarios, with different characters, while noting and learning from the behavioural messages within the plots.
They will enhance their confidence, public speaking and communication skills. 
Drama will both develop independence and teamwork. ","The goal is to nurture the student's artistic and theatrical abilities. This includes awareness of a dramatic performance, understanding social and environmental contexts and consequences of actions and characteristics, thinking critically, being aware of their bodies, actions, facial expressions and voices, and making compelling artistic and social choices on stage and in life. ","The skills of the children will be developed through the use of vocal dynamics, body language and mannerisms, use and awareness of space and improvisational techniques. ",,TRUE,FALSE,,,Year 1-6,,,Skills,
Junior Innovators: Creative Engineering & Design,"Mastering the Engineering Design Process: Gain a solid understanding of the engineering design process, including stages like problem identification, exploration, brainstorming, and iteration, all crucial to developing innovative solutions.

Fostering Teamwork and Confidence: Enhance teamwork skills by collaborating on design projects while building confidence in your creative abilities and problem-solving acumen.

Nurturing a Systematic Creative Mindset: Cultivate a unique blend of creativity and systematic thinking, empowering you to tackle real-world challenges confidently, fostering a lifelong passion for innovation and learning.","Welcome to ""Junior Innovators: Creative Engineering & Design"", a captivating course crafted for young innovators aged 8-12. Embark on a thrilling journey where creativity meets systematic problem-solving. Navigate real-world challenges using engineering design frameworks, encompassing stages of problem identification, creative exploration, innovative brainstorming, and iterative refinement. In this hands-on journey, you'll create an original solution to a meaningful problem. With teamwork activities embedded throughout, you'll bolster not only your creative confidence but also collaborative skills. Join us, and unlock your potential as a creative problem-solver and future change-maker!",,,TRUE,,,,Year 4-6,,,Skills,
